,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,7,13,19,25,31,37,43,49,55,61,67,73,79,85,91,97,103,109,115,121,127,133,139,145,151,157,163,169,175,181,187,193
1,13,24,35,46,57,68,79,90,101,112,123,134,145,156,167,178,189,200,211,222,233,244,255,266,277,288,299,310,321,332,343,354
2,19,35,51,67,83,99,115,131,147,163,179,195,211,227,243,259,275,291,307,323,339,355,371,387,403,419,435,451,467,483,499,515
3,25,46,67,88,109,130,151,172,193,214,235,256,277,298,319,340,361,382,403,424,445,466,487,508,529,550,571,592,613,634,655,676
4,31,57,83,109,135,161,187,213,239,265,291,317,343,369,395,421,447,473,499,525,551,577,603,629,655,681,707,733,759,785,811,837
5,37,68,99,130,161,192,223,254,285,316,347,378,409,440,471,502,533,564,595,626,657,688,719,750,781,812,843,874,905,936,967,998
6,43,79,115,151,187,223,259,295,331,367,403,439,475,511,547,583,619,655,691,727,763,799,835,871,907,943,979,1015,1051,1087,1123,1159
7,49,90,131,172,213,254,295,336,377,418,459,500,541,582,623,664,705,746,787,828,869,910,951,992,1033,1074,1115,1156,1197,1238,1279,1320
8,55,101,147,193,239,285,331,377,423,469,515,561,607,653,699,745,791,837,883,929,975,1021,1067,1113,1159,1205,1251,1297,1343,1389,1435,1481
9,61,112,163,214,265,316,367,418,469,520,571,622,673,724,775,826,877,928,979,1030,1081,1132,1183,1234,1285,1336,1387,1438,1489,1540,1591,1642
10,67,123,179,235,291,347,403,459,515,571,627,683,739,795,851,907,963,1019,1075,1131,1187,1243,1299,1355,1411,1467,1523,1579,1635,1691,1747,1803
